date,energy,enthalpy
2020-06-12,6835.791429,40178.51846
2020-06-13,6760.431429,36930.42028
2020-06-14,6753.171429,36113.77783
2020-06-15,6772.431429,36273.20898
2020-06-16,6804.96,36548.47992
2020-06-17,6806.091429,36436.41017
2020-06-18,6764.091429,36268.86419
2020-06-19,6909.008571,38481.36485
2020-06-20,7119.557143,42868.97806
2020-06-21,7343.185714,47789.52956
2020-06-22,7547.657143,52659.57508
2020-06-23,7738.405714,56404.7056
2020-06-24,7719.934286,58575.26152
2020-06-25,7689.368571,57428.04831
2020-06-26,7591.971429,55827.11159
2020-06-27,7489.491429,54859.94922
2020-06-28,7392.36,54218.00699
2020-06-29,7317.651429,52364.67298
2020-06-30,7256.871429,50398.53544
2020-07-01,7352.905714,50316.3887
2020-07-02,7512.582857,53096.39237
2020-07-03,7640.185714,54657.17857
2020-07-04,7634.005714,54318.05645
2020-07-05,7616.914286,53127.96781
2020-07-06,7610.845714,52645.20418
2020-07-07,7595.074286,52840.69903
2020-07-08,7726.191429,54390.78436
2020-07-09,7794.06,55163.52509
2020-07-10,7909.38,57388.99263
2020-07-11,8064.522857,60476.32081
2020-07-12,8197.328571,63301.60284
2020-07-13,8217.737143,64482.85421
2020-07-14,8217.66,64417.50395
2020-07-15,8067.197143,61215.78133
2020-07-16,7946.391429,59418.35778
2020-07-17,7851.162857,57440.34076
2020-07-18,7827.154286,56795.6959
2020-07-19,7852.551429,57339.19272
2020-07-20,7948.345714,58722.52803
2020-07-21,7908.505714,58399.03508
2020-07-22,7806.051429,59131.66925
2020-07-23,7795.954286,58972.64317
2020-07-24,7751.494286,58112.61488
2020-07-25,7706.391429,57308.73267
2020-07-26,7674.085714,56340.62438
2020-07-27,7686.882857,57159.27137
2020-07-28,7833.42,59587.96201
2020-07-29,7999.217143,60771.4083
2020-07-30,8019.771429,60977.61474
2020-07-31,8030.065714,61064.07885
2020-08-01,8048.554286,60912.18607
2020-08-02,7989.274286,60308.97292
2020-08-03,7928.614286,58589.64309
2020-08-04,7807.791429,56690.91911
2020-08-05,7803.18,55979.78187
2020-08-06,7737.651429,54458.59111
2020-08-07,7698.968571,53795.30531
2020-08-08,7659.3,53002.44294
2020-08-09,7664.451429,52675.22729
2020-08-10,7666.328571,52718.48655
2020-08-11,7793.022857,54600.1174
2020-08-12,7858.148571,55756.60952
2020-08-13,7944.3,57409.68939
2020-08-14,7943.537143,57233.24187
2020-08-15,7963.148571,57201.60206
2020-08-16,7971.051429,57052.39249
2020-08-17,7952.057143,56279.91257
2020-08-18,7814.168571,53830.26599
2020-08-19,7636.508571,50800.65168
2020-08-20,7486.242857,48136.25381
2020-08-21,7473.48,48218.47348
2020-08-22,7216.517143,47631.67736
2020-08-23,7120.602857,47562.38485
2020-08-24,7115.417143,48341.50217
2020-08-25,7174.414286,49310.23636
2020-08-26,7104.805714,47591.45638
2020-08-27,7053.445714,46400.90728
2020-08-28,6944.451429,44884.56067
2020-08-29,7053.522857,44161.9518
2020-08-30,6962.922857,41809.27735
2020-08-31,6762.042857,38882.50019
2020-09-01,6606.548571,37245.47877
2020-09-02,6761.845714,40420.07453
